Counters: {"aborted": "0", "completed": "0", "disconnected": "0", "error": "0", "executed": "151", "failed": "0", "inProgress": "0", "inconclusive": "0", "notExecuted": "0", "notRunnable": "0", "passed": "151", "passedButRunAborted": "0", "pending": "0", "timeout": "0", "total": "151", "warning": "0"}
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface.It_exposes_the_cdc_deployment_options_on_every_verb
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface.It_exposes_the_provisioning_evidence_flags_only_where_the_readiness_sequence_runs
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface.It_exposes_the_source_connection_variable_only_for_retire
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface.It_leaves_an_omitted_cdc_option_out_of_the_configuration_overrides
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface.It_lists_the_cdc_group_and_its_verbs_in_help_output
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface.It_lists_the_evidence_flags_and_their_exact_tokens_in_enable_help_output
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface.It_maps_the_supplied_cdc_options_to_control_plane_configuration_keys
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface.It_names_a_variable_rather_than_a_value_on_the_source_connection_option
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface.It_parses_every_cdc_verb("adopt")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface.It_parses_every_cdc_verb("enable")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface.It_parses_every_cdc_verb("replace-source")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface.It_parses_every_cdc_verb("restart")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface.It_parses_every_cdc_verb("retire")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface.It_parses_every_cdc_verb("status")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface.It_parses_every_cdc_verb("stop")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface.It_reads_the_deployment_key_from_the_path_the_surface_writes_it_to
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface.It_rejects_a_missing_or_wrong_confirmation_token("replace-source")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface.It_rejects_a_missing_or_wrong_confirmation_token("retire")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface.It_rejects_a_non_positive_previous_generation
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface.It_rejects_an_unknown_durability_profile("")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface.It_rejects_an_unknown_durability_profile("Local")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface.It_rejects_an_unknown_durability_profile("development")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface.It_rejects_an_unknown_durability_profile("prod")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface.It_rejects_any_other_database_creation_mode_value("")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface.It_rejects_any_other_database_creation_mode_value("Created-For-Initial-Cdc-Provisioning")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface.It_rejects_any_other_database_creation_mode_value("created-for-cdc-provisioning")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface.It_rejects_any_other_database_creation_mode_value("createdForInitialCdcProvisioning")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface.It_rejects_any_other_database_creation_mode_value("true")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface.It_rejects_any_other_write_admission_value("")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface.It_rejects_any_other_write_admission_value("Closed-Never-Opened")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface.It_rejects_any_other_write_admission_value("closed-and-drained")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface.It_rejects_any_other_write_admission_value("closedNeverOpened")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface.It_rejects_any_other_write_admission_value("true")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface.It_rejects_non_positive_numeric_cdc_options("--data-store-id","0")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface.It_rejects_non_positive_numeric_cdc_options("--generation","-1")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface.It_rejects_non_positive_numeric_cdc_options("--generation","0")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface.It_rejects_non_positive_numeric_cdc_options("--max-record-bytes","-1048576")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface.It_rejects_non_positive_numeric_cdc_options("--max-record-bytes","0")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface.It_reports_the_parsed_cdc_verb("adopt")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface.It_reports_the_parsed_cdc_verb("enable")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface.It_reports_the_parsed_cdc_verb("replace-source")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface.It_reports_the_parsed_cdc_verb("restart")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface.It_reports_the_parsed_cdc_verb("retire")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface.It_reports_the_parsed_cdc_verb("status")
Passed | EdFi.DataManagementService.DocumentCacheAdmin.Tests.Unit.Given_DocumentCacheAdminCdcCommandSurface.It_reports_the_parsed_cdc_verb("stop")
